"","year","state","avg_rate","gun_laws_strength_rank"
"1","2021","AK",24.35,"41"
"2","2021","AL",25.125,"31"
"3","2021","AR",22.825,"50"
"4","2021","AZ",18.15,"42"
"5","2021","CA",9.175,"1"
"6","2021","CO",17.25,"13"
"7","2021","CT",6.875,"3"
"8","2021","DE",15.225,"12"
"9","2021","FL",14.325,"24"
"10","2021","GA",19.5,"28"
"11","2021","HI",4.675,"4"
"12","2021","IA",11.025,"30"
"13","2021","ID",16.85,"48"
"14","2021","IL",14.925,"8"
"15","2021","IN",18.025,"26"
"16","2021","KS",17.275,"45"
"17","2021","KY",21.4,"42"
"18","2021","LA",28.425,"34"
"19","2021","MA",3.525,"5"
"20","2021","MD",14.525,"7"
"21","2021","ME",12.5,"29"
"22","2021","MI",15.45,"18"
"23","2021","MN",9.725,"17"
"24","2021","MO",23.475,"47"
"25","2021","MS",31.5,"45"
"26","2021","MT",23.15,"40"
"27","2021","NC",16.975,"21"
"28","2021","ND",15.45,"39"
"29","2021","NE",10.5,"20"
"30","2021","NH",9.5,"27"
"31","2021","NJ",4.975,"2"
"32","2021","NM",25.625,"19"
"33","2021","NV",19.625,"16"
"34","2021","NY",5.45,"6"
"35","2021","OH",15.925,"25"
"36","2021","OK",20.85,"37"
"37","2021","OR",15.45,"15"
"38","2021","PA",14.35,"14"
"39","2021","RI",5.95,"9"
"40","2021","SC",21.7,"32"
"41","2021","SD",14.75,"44"
"42","2021","TN",22.5,"37"
"43","2021","TX",15.125,"36"
"44","2021","UT",13.7,"33"
"45","2021","VA",13.85,"11"
"46","2021","VT",12.525,"22"
"47","2021","WA",11.125,"10"
"48","2021","WI",12.925,"22"
"49","2021","WV",18.075,"34"
"50","2021","WY",25.15,"49"
